,tweets,date,user,location
146,listening to this one im crying again i remember mashiho and yedam it hurts😭💔 but thankyou for singing this dokyeom… https://t.co/2F3ex8haJQ,2022-11-11 10:33:13+00:00,itssammymaui,she/her
147,i'm still not ready to hear everyday without yedam (+ one of the producers) and angelic voice mashiho :(( https://t.co/cTCO6XYvjM,2022-11-11 10:32:32+00:00,kjkyuoala,🇵🇭 s/her
148,—parang this made me realize how much they’ve become really important to me. di ko alam ganito ko iiyakan at damdam… https://t.co/N7bYp6DIJf,2022-11-11 10:28:58+00:00,peppermint_cola,
149,"I remember when we watched YGTB on our TV too, she cried seeing their struggles on cam, and now.....she's crying be… https://t.co/1OPMTgpY7i",2022-11-11 10:27:12+00:00,woopyuki,"Krusty Crab, Biniki Bottom "
150,"11.11.2022

So earlier, I've decided to rewatch TRACE CONCERT of TREASURE (obviously, because I miss Mashiho and Ye… https://t.co/MAM9FnLth7",2022-11-11 10:27:11+00:00,woopyuki,"Krusty Crab, Biniki Bottom "
151,"D-3 🕊

i'm still here mashi.. take care love❤

WE TREASURE YEDAM AND MASHIHO
#AlwaysHereForMASHIHO… https://t.co/vJ99Jq1Ata",2022-11-11 10:27:04+00:00,watanabemashiho,haruto mashiho.
152,"To mashi and yedam,
 I hope I can meet you two even though not a Mashiho and Yedam from Treasure but as Takata Mash… https://t.co/IoZYMgp9Xt",2022-11-11 10:26:46+00:00,Treasure12Cutie,
153,"@yedamsluvr I stand for Treasure, Bang Yedam and Takata Mashiho for a life",2022-11-11 10:26:25+00:00,rnxclaws,She/Her  03'
154,@ygent_official please don't change the logo that's the only thing remain that Mashiho and yedam is with us  😭🙏,2022-11-11 10:23:46+00:00,Alleahtoot2,
155,I miss Mashiho and Yedam- https://t.co/92MOUqjYpw,2022-11-11 10:04:42+00:00,yunhos_rasgulla,In your heart
156,"Yet all I want is for Mashiho and Yedam to be okay, and the rest of TREASURE to be strong and slay their upcoming concerts.",2022-11-11 10:02:32+00:00,kulotGorgeous,
